idInvoice,idEvent,aditionalData,amount,amountPaidAferMatchMatch,amountPaidBeforeMatch,amountToPaidAfterMatch,amountToPaidBeforeMatch,amountToPay,eventDate,eventType,hasMatchAfterMatch,hasMatchBeforeMatch,idTransaction,matchMethod,needReviewAfterMatch,needReviewBeforeMatch,paymentethod,result,stateAfterMatch,stateBeforeMatch
ECB19B650662455DBB7FB32A920D1F11,34d70e88-afef-4beb-a61f-2b5a4b8dfd10,{},236203,236203,236203,0,0,236203,1.69345E+12,LINK#GRAPH#PAYMENT,true,true,a8da64fc8433c0bfbed37cf053053d92,GRAPH,false,false,PUE,ERROR# El monto a abonar es mayor al saldo pendiente de la factura,PAGADA,PAGADA
ECB19B650662455DBB7FB32A920D1F11,b3e12047-dfd2-4102-ba3a-97fc565e33f8,{},236203,236203,236203,0,0,236203,1.69334E+12,LINK#GRAPH#PAYMENT,true,true,a8da64fc8433c0bfbed37cf053053d92,GRAPH,false,false,PUE,ERROR# El monto a abonar es mayor al saldo pendiente de la factura,PAGADA,PAGADA
ECB19B650662455DBB7FB32A920D1F11,dfbdf10a-70b5-401e-a3e0-e507bc9df159,{},236203,236203,236203,0,0,236203,1.69335E+12,LINK#GRAPH#PAYMENT,true,true,a8da64fc8433c0bfbed37cf053053d92,GRAPH,false,false,PUE,ERROR# El monto a abonar es mayor al saldo pendiente de la factura,PAGADA,PAGADA
ECB19B650662455DBB7FB32A920D1F11,e8728d76-cfa4-4ec8-b596-225aeec5c043,{},236203,236203,0,0,236203,236203,1.69334E+12,LINK#GRAPH#PAYMENT,true,false,a8da64fc8433c0bfbed37cf053053d92,GRAPH,false,false,PUE,SUCCESS,PAGADA,PENDIENTE
299716B759534020BEE566D276AF0F0E,9179d76c-7f0d-4b56-aa9d-ca782e7cdaee,{},65880,65880,0,0,65880,65880,1.69334E+12,LINK#PAYMENT,true,false,b86c5e10df1237784978dd5ca64155dc,null,false,false,PUE,SUCCESS,PAGADA,PENDIENTE
5EC13E3784C55AC7B2A4E23E6D4F2599,312db07a-9f1a-4acf-a7bf-cab99f20baec,{},1506.84,0,0,1506.84,1506.84,1506.84,1.69345E+12,UNLINK#GRAPH#PAYMENT,false,false,b48b464760f4e8d6a085cd61da934cea,GRAPH,false,false,PUE,ERROR# NO SE PUEDE DESCONTAR SALDO A UNA FACTURA CON MONTO PAGADO EN CERO,PENDIENTE,PENDIENTE
5EC13E3784C55AC7B2A4E23E6D4F2599,582cf735-a563-4b18-a354-98da8151a056,{},1506.84,0,0,1506.84,1506.84,1506.84,1.69406E+12,UNLINK#GRAPH#PAYMENT,false,false,b48b464760f4e8d6a085cd61da934cea,GRAPH,false,false,PUE,ERROR# NO SE PUEDE DESCONTAR SALDO A UNA FACTURA CON MONTO PAGADO EN CERO,VENCIDA,VENCIDA
5EC13E3784C55AC7B2A4E23E6D4F2599,7c8b8c0b-808f-47cd-b3e4-418ef9e0b5b6,{},1506.84,0,0,1506.84,1506.84,1506.84,1.69406E+12,UNLINK#GRAPH#PAYMENT,false,false,945b4382ca6f14dab8e6bd0e43e491c9,GRAPH,false,false,PUE,ERROR# NO SE PUEDE DESCONTAR SALDO A UNA FACTURA CON MONTO PAGADO EN CERO,VENCIDA,VENCIDA
5EC13E3784C55AC7B2A4E23E6D4F2599,e59a8433-96dc-4a1b-9266-693e759c4c90,{},1506.84,0,0,1506.84,1506.84,1506.84,1.69345E+12,UNLINK#GRAPH#PAYMENT,false,false,945b4382ca6f14dab8e6bd0e43e491c9,GRAPH,false,false,PUE,ERROR# NO SE PUEDE DESCONTAR SALDO A UNA FACTURA CON MONTO PAGADO EN CERO,PENDIENTE,PENDIENTE
8AC7B713098B44928830890B8D3AB483,169cfdbd-b00f-4a07-99b8-dbd428b2bd81,{},100143.12,100143.12,100143.12,0,0,100143.12,1.69334E+12,LINK#GRAPH#PAYMENT,true,true,bcc4c49017862d18bb0c1fbb3229d074,GRAPH,false,false,PUE,ERROR# El monto a abonar es mayor al saldo pendiente de la factura,PAGADA,PAGADA
8AC7B713098B44928830890B8D3AB483,3420a779-462d-45f1-9aaf-83faaa27ee2b,{},100143.12,100143.12,100143.12,0,0,100143.12,1.69406E+12,LINK#GRAPH#PAYMENT,true,true,bcc4c49017862d18bb0c1fbb3229d074,GRAPH,false,false,PUE,ERROR# El monto a abonar es mayor al saldo pendiente de la factura,PAGADA,PAGADA
8AC7B713098B44928830890B8D3AB483,c8a4ea7f-d006-4706-aef5-a1c8bbacb2fe,{},100143.12,100143.12,100143.12,0,0,100143.12,1.69345E+12,LINK#GRAPH#PAYMENT,true,true,bcc4c49017862d18bb0c1fbb3229d074,GRAPH,false,false,PUE,ERROR# El monto a abonar es mayor al saldo pendiente de la factura,PAGADA,PAGADA
8AC7B713098B44928830890B8D3AB483,cc8a422b-2377-4cb8-b9d6-66a76f3bbd1c,{},100143.12,100143.12,100143.12,0,0,100143.12,1.69335E+12,LINK#GRAPH#PAYMENT,true,true,bcc4c49017862d18bb0c1fbb3229d074,GRAPH,false,false,PUE,ERROR# El monto a abonar es mayor al saldo pendiente de la factura,PAGADA,PAGADA
8AC7B713098B44928830890B8D3AB483,fd388a80-a1cf-4983-bc66-8099a6e1144b,{},100143.12,100143.12,0,0,100143.12,100143.12,1.69334E+12,LINK#GRAPH#PAYMENT,true,false,bcc4c49017862d18bb0c1fbb3229d074,GRAPH,false,false,PUE,SUCCESS,PAGADA,PENDIENTE
00BFF93F595148CF8B4BD7647C968E36,07ec39b3-8df8-4f63-ba69-53620f67d588,{},174,174,174,0,0,174,1.69334E+12,LINK#GRAPH#PAYMENT,true,true,de2c3cada1700174df7108cf692f759f,GRAPH,false,false,PUE,ERROR# El monto a abonar es mayor al saldo pendiente de la factura,PAGADA,PAGADA
00BFF93F595148CF8B4BD7647C968E36,0cf06697-c761-45de-9015-7ab809aded51,{},174,174,174,0,0,174,1.69328E+12,LINK#GRAPH#PAYMENT,true,true,de2c3cada1700174df7108cf692f759f,GRAPH,false,false,PUE,ERROR# El monto a abonar es mayor al saldo pendiente de la factura,PAGADA,PAGADA
00BFF93F595148CF8B4BD7647C968E36,317e7a49-27c4-4064-ad92-bd77d977ddd7,{},174,174,0,0,174,174,1.69328E+12,LINK#GRAPH#PAYMENT,true,false,de2c3cada1700174df7108cf692f759f,GRAPH,false,false,PUE,SUCCESS,PAGADA,PENDIENTE
00BFF93F595148CF8B4BD7647C968E36,534810de-d9f2-4295-a810-0c82e335c52a,{},174,174,174,0,0,174,1.69328E+12,CONFIRM#PAYMENT,true,true,de2c3cada1700174df7108cf692f759f,MANUAL,false,false,PUE,SUCCESS,PAGADA,PAGADA
